question,Intent_Number
What are your hours,1
what are your hours today,1
What are your hours?,1
Alumni resources,2
Can I make an appointment?,3
How can I make a career coaching appointment?,3
How can I make an appointment ,3
how can i make an appointment with an adviser,3
How can I meet with a counselor?,3
how can i schedule an appointment with an advisor?,3
how do I make an appointment for advising,3
how do I make an appointment for co-op advising,3
how do I make an appoiontment?,3
how do i schedule an appointment with one of the counselors,3
how to meet with the counselors ,3
I need to make an appointment,3
I need to meet with a counselor,3
I need to meet with a counselor,3
I need to meet with a counselor,3
I want to make an appointment,3
I want to make an appointment,3
need to make an appointment with admissions councilor for my daughters fall 2017 enrollment,3
want to make an appointment,3
Where do I make appointment?,3
who do i make an appointment with,3
who do i make an appointment with?,3
Campus Interview Program cancellation policy.,4
Can I cancel a career fair registration?,4
cancel appointment,4
cancel appointment,4
Cancel interview,4
How can I schedule an appointment,4
how do  cancel an appointment ,4
How do I cancel an appointment?,4
how do I cancel an interview,4
How do I cancel and appointment ,4
How do I schedule an appointment?,4
how do i set up an advisement appointment?,4
How do you cancel an on campus interview,4
howcan i schedule the appointment?,4
I need an appointment ,4
I need to cancel my appointment,4
I need to email to cancel interview,4
I need to reschedule my appointment,4
i need to schedule an appointment,4
i need to schedule an appointment with my co op advisor,4
interview room cancelation,4
Is it possible to cancel an appointment that I've made with an advisor,4
Where is the housing cancelation form ,4
who can I contact to cancel a room reservation at the career center,4
Who do I contact about canceling an on campus interview,4
Contact information for the career center,5
Contact information for the career center,5
How do I contact the career center?,5
How do I contact the career center?,5
Employer Information Session,6
Employer Information Session employer,6
are there walk in hours today?,7
Are you open today?,7
are you open tomorrow,7
career center hours,7
career center hours,7
career center work hours,7
i cant open the link,7
open hour,7
Open registration,7
prelaw walk in hours,7
walk in hours,7
What are advising hours,7
What are the office hours,7
What are the office hours?,7
what are the walk in hours? ,7
what are walk in hours,7
what are walk-in hours next week?,7
what are your hours,7
What are your hours?,7
what are your hours?:,7
What hours is the office open?,7
what hours is your office open,7
what should I wear to our date?,7
When is open registration?,7
Where are you located and when are you open ,7
Drop-in Advising,8
drop-ins,8
dropins,8
firsthand adviser,8
meet with an adviser,8
what are your drop in hours,8
engineering career consultant walk in hours,9
walk-in hours,9
What are the walk in hours,9
What are the Walk in hours?,9
what are walk in hours,9
when are walk in hours,9
when are walk in hours/ or should i make an appointment to talk to my career consultant,9
c2d2 address,10
is Rob Rogers still responsible for the C2D2 Ambassadors,10
location,10
UGA Career Center,10
What is the address of the buliding?,10
where,10
where am I?,10
Where are  you located?,10
Where are most of the coops located?,10
where are stipends published,10
where are the teaching philosophy ,10
where are we,10
where are wharton walk-ins?,10
where are you located,10
Where are you located?,10
Where are you located?,10
Where are you located?,10
Where are you located?,10
Where are you located?,10
Where are you?,10
Where are you?,10
where can i co-op,10
where can I log into Handshake,10
Where do i a visitor park for the Klaus adv comp. Blda?,10
where do I go ?,10
Where do I go to access Careerolina?,10
Where do I locate the current job listings at UGA?,10
Where do I locate the current job listings online at UGA?,10
where do i login from,10
where do i submit my transcript,10
Where do you live?,10
where is C2D2,10
where is career center,10
where is career center for adjunct faculty ,10
where is career services,10
Where is Career Services?,10
Where is Career SErvices?,10
where is careerolina,10
Where is coops office?,10
where is focus2,10
Where is Glassdoor?,10
where is handshake,10
Where is Karen Houston's office?,10
Where is Ken Little's office in C2D2,10
where is my father,10
Where is my quick lins,10
where is my w-2?,10
Where is penn link,10
Where is Samantha Meyer's office,10
"where is the \online orientation\""""",10
Where is the assignment record form?,10
Where is the career center,10
Where is the career center located ,10
Where is the career center located now because I would like to come in for walk-in hours today and I have heard mixed answers on where the location actually is.,10
Where is the career center?,10
Where is the career center?,10
where is the career services office located?,10
Where is the careerbuzz found,10
Where is the Center for Career Discovery and Development ,10
Where is the co-op contract?,10
where is the glassdoor link,10
where is the link?,10
Where is the North Ave gym,10
Where is the office located?,10
Where is the office located?,10
Where is the office of Michael Laughter,10
where is the placement folder,10
where is the staff directory?,10
Where is the STEM indusry day location ,10
where is thewebinar]\\,10
Where is walk-in career service,10
where is wharton undergraduate career services located?,10
Where is your new location?,10
Where is your office,10
where should I go ,10
Where should I login for my CPT approval?,10
where should i login?,10
Where were you born?,10
where?,10
will Finn Wolfhard be at C2D2?,10
Can staff members use career services?,11
career services,11
career services book,11
I want to unsubscribe from all Penn career services newsletters,11
Is Rosanne Lurie still on the Career Services staff?,11
what are the career advise services?,11
what are the services offered to student?,11
