question,Intent_Number
I need to view my semester charges,1
How do I view my bill?,1
When do I need to apply for Financial Aid,2
When can I apply for fasfa for 2017?,2
when do i need to apply for financial aid for the fall 2017 semester?,2
When is the last day to apply fill out the fafsa for next semester?,2
I need to re-apply for financial aid. When is the deadline?,2
when is spring break,3
When can ,3
when,3
When does FAFSA become available?,3
Can I get financial aid,4
will i lose my financial aid if i get out on academic probation,4
Hi. If i am on acad3mic probation will i not get finnancial aid,4
Will I get financial aid if I was academically suspended,4
Can I get financial aid next semester,4
fsa id,5
How much aid can I expect?,6
How much financial aid will I receive?,6
Where do I see how much financial aid I recieved after clicking on Banner Self-Service,6
How much financial aid can I get?,6
why does fafsa ask me for my couses information from 2015 but we were not married at that time?,7
What does the financial aid process look like?,8
How do i submit a reconsideration request,9
Where can I find the reconsideration form for financial aid?,9
This is about reconsideration forms,9
i need the financial reconsideration form to update my financial information please,9
When is the deadline for a reconsideration request?,9
I am looking for the Reconsideration forms,9
what is gradready?,10
Summer school financial aid deadline,11
if i applied for summer financial aid  when will i receive it,11
When will summer financial aid be applied to the bill?,11
When will my summer financial aid be applied to my bill?,11
Financial aid application deadline for summer school,11
Am I eligible for financial aid for summer school?,12
Can I get financial aid for summer school?,12
How much financial aid can I get for summer school?,13
Where is the financial aid application for summer school?,14
When is my fall financial aid award ready?,15
When is my summer financial aid award ready?,15
When will I find out about summer aid?,15
Summer school application and Pell Grants,16
What are our options if financial aid didn't cover full  ,17
what type of financial aid are available at this school ,17
When is the bill due?,18
When is the eBill due?,18
Whne is my bill due,18
What does a negative balance mean?,19
what is  a negetive balance,19
How will I get notified of my bill?,20
How will you be billed by the college?,21
how will I be billed by the collerge,21
How do I get my money?,22
How do I get my money,22
How do I get my money for my books?,22
What can I use my refund for?,22
What is a Finacial Refund for?,22
How can i get my money,22
How long until I receive my refund via direct deposit?,23
How long does it take to get a refund via direct deposit?,23
When will my refund be deposited?,23
When will my refund be deposited,23
When will Fall 2017 refund check be deposited?,23
How do I find out if I get a refund of not?,24
How do i get a refund on a tuition overpayment?,24
When should i expect my refund check,24
Help with my bill.,25
How much is the fee for the payment plan?,26
Payment plan installments,27
payment plan fees,27
529 plan,27
meal plan,27
Are payment plans yearly or by semester?,27
Meal plans?,27
When will my bill come,28
what is the email for financial aid,29
What is financial aid email?,29
what is the email for financial aid? ,29
what's the financial aid email?,29
 Financial aid telephone number?,30
office hours,31
what are office hours?,31
How much do books cost?,32
OK How much do books cost?,32
and what about transportation costs?,32
OK cool.  How much are books?,32
How much should i estimate for my personal expenses?,32
And how much are transportation costs?,32
OK how much are books?,32
And how much does transportation cost?,32
How much are books?,32
What are Transportation costs?,32
Ok Well how much are books?,32
What is the Cost of Attendance,33
where can I see the cost of attendance budget,33
Cost of Attendance,33
Price of Attendance,33
What is the tuition at UCF?,34
How much does it cost to attend UCF,34
How much is tuition at UCF,34
I'm a graduate student  how much is tuition for 2017,34
What is the tuition at UCF,34
Graduate Cost of Attendance,35
insurance,36
indirect costs,37
What will be the total cost of the course data science and business analytics certification,37
Do you have a calculator of estimated net price for UNCC?,38
FAFSA link,39
where's the link to FAFsa,39
Where is the FAFSA application?,39
Where is FAFSA,39
FAFSA id,39
status of ifnancial aid,40
what is the status of my aid,40
Im trying to check my son financial aid status for fall 2017,40
How do I login?,41
I need to speak with someone in UNCC financial aid,42
How do I apply for aid,42
I need more financial aid!,42
How do I apply summer financial aid?,42
How can I apply for additional financial aid,42
How do I apply for financial aid,42
how to i apply financial,42
I need financial aid,42
how to apply for financial aid,42
how do I apply,42
so I need to talk to financial aid people on the phone right?,42
how do i apply for undergrad admission,42
What happens if I miss the priority deadline?,43
what happens if you miss the fafsa deadline?,43
What is the priority date,44
When do I need to get my financial aid application in?,44
priority deadline to apply for financial aid,44
What is the school code,45
school code,45
